case_count,segment,state,zone,year,month,day,festival_holiday
147,1,19,1,2017,6,26,1
172,1,19,1,2017,6,27,0
189,1,19,1,2017,6,28,0
187,1,19,1,2017,6,29,0
730,1,19,1,2017,6,30,0
107,1,19,1,2017,7,1,0
0,1,19,1,2017,7,2,0
106,1,19,1,2017,7,5,0
8,1,19,1,2017,7,6,0
40,1,19,1,2017,7,7,0
147,1,19,1,2017,7,10,0
108,1,19,1,2017,7,11,0
108,1,19,1,2017,7,12,0
95,1,19,1,2017,7,13,0
116,1,19,1,2017,7,14,0
86,1,19,1,2017,7,15,0
60,1,19,1,2017,7,16,0
133,1,19,1,2017,7,17,0
124,1,19,1,2017,7,18,0
142,1,19,1,2017,7,19,0
87,1,19,1,2017,7,20,0
107,1,19,1,2017,7,21,0
64,1,19,1,2017,7,22,0
41,1,19,1,2017,7,23,0
77,1,19,1,2017,7,24,0
79,1,19,1,2017,7,25,0
111,1,19,1,2017,7,26,0
75,1,19,1,2017,7,27,0
101,1,19,1,2017,7,28,0
85,1,19,1,2017,7,29,0
75,1,19,1,2017,7,30,0
716,1,19,1,2017,7,31,0
59,1,19,1,2017,8,1,0
1,1,19,1,2017,8,3,0
0,1,19,1,2017,8,4,0
1,1,19,1,2017,8,5,0
0,1,19,1,2017,8,6,0
167,1,19,1,2017,8,7,1
136,1,19,1,2017,8,8,0
108,1,19,1,2017,8,9,0
130,1,19,1,2017,8,10,0
146,1,19,1,2017,8,11,0
125,1,19,1,2017,8,12,0
78,1,19,1,2017,8,13,0
202,1,19,1,2017,8,14,1
66,1,19,1,2017,8,15,1
202,1,19,1,2017,8,16,0
136,1,19,1,2017,8,17,0
142,1,19,1,2017,8,18,0
138,1,19,1,2017,8,19,0
113,1,19,1,2017,8,20,0
179,1,19,1,2017,8,21,0
170,1,19,1,2017,8,22,0
186,1,19,1,2017,8,23,0
154,1,19,1,2017,8,24,0
195,1,19,1,2017,8,25,1
150,1,19,1,2017,8,26,0
131,1,19,1,2017,8,27,0
218,1,19,1,2017,8,28,0
145,1,19,1,2017,8,29,0
207,1,19,1,2017,8,30,0
1397,1,19,1,2017,8,31,0
3,1,19,1,2017,9,4,1
109,1,19,1,2017,9,5,0
103,1,19,1,2017,9,7,0
225,1,19,1,2017,9,8,0
185,1,19,1,2017,9,9,0
202,1,19,1,2017,9,10,0
263,1,19,1,2017,9,11,0
259,1,19,1,2017,9,12,0
254,1,19,1,2017,9,13,0
311,1,19,1,2017,9,14,0
362,1,19,1,2017,9,15,0
299,1,19,1,2017,9,16,0
135,1,19,1,2017,9,17,0
342,1,19,1,2017,9,18,0
325,1,19,1,2017,9,19,0
335,1,19,1,2017,9,20,0
303,1,19,1,2017,9,21,0
339,1,19,1,2017,9,22,0
350,1,19,1,2017,9,23,0
416,1,19,1,2017,9,24,0
424,1,19,1,2017,9,25,0
526,1,19,1,2017,9,26,0
311,1,19,1,2017,9,27,0
96,1,19,1,2017,9,28,0
39,1,19,1,2017,9,29,0
1417,1,19,1,2017,9,30,1
22,1,19,1,2017,10,1,1
3,1,19,1,2017,10,2,1
3,1,19,1,2017,10,3,0
5,1,19,1,2017,10,4,0
8,1,19,1,2017,10,5,0
2,1,19,1,2017,10,6,0
2,1,19,1,2017,10,7,0
8,1,19,1,2017,10,8,0
87,1,19,1,2017,10,9,0
137,1,19,1,2017,10,10,0
275,1,19,1,2017,10,11,0
218,1,19,1,2017,10,12,0
249,1,19,1,2017,10,13,0
235,1,19,1,2017,10,14,0
243,1,19,1,2017,10,15,0
406,1,19,1,2017,10,16,0
428,1,19,1,2017,10,17,0
392,1,19,1,2017,10,18,0
277,1,19,1,2017,10,19,1
134,1,19,1,2017,10,20,0
58,1,19,1,2017,10,21,0
112,1,19,1,2017,10,22,0
215,1,19,1,2017,10,23,0
191,1,19,1,2017,10,24,0
190,1,19,1,2017,10,25,0
149,1,19,1,2017,10,26,0
201,1,19,1,2017,10,27,0
160,1,19,1,2017,10,28,0
109,1,19,1,2017,10,29,0
200,1,19,1,2017,10,30,0
1054,1,19,1,2017,10,31,0
44,1,19,1,2017,11,1,0
0,1,19,1,2017,11,2,0
0,1,19,1,2017,11,3,0
0,1,19,1,2017,11,4,0
1,1,19,1,2017,11,5,0
0,1,19,1,2017,11,6,0
6,1,19,1,2017,11,7,0
111,1,19,1,2017,11,8,0
127,1,19,1,2017,11,9,0
129,1,19,1,2017,11,10,0
124,1,19,1,2017,11,11,0
82,1,19,1,2017,11,12,0
158,1,19,1,2017,11,13,0
132,1,19,1,2017,11,14,0
79,1,19,1,2017,11,15,0
93,1,19,1,2017,11,16,0
115,1,19,1,2017,11,17,0
123,1,19,1,2017,11,18,0
239,1,19,1,2017,11,19,0
0,1,19,1,2017,11,20,0
139,1,19,1,2017,11,21,0
126,1,19,1,2017,11,22,0
123,1,19,1,2017,11,23,0
124,1,19,1,2017,11,24,0
115,1,19,1,2017,11,25,0
71,1,19,1,2017,11,26,0
131,1,19,1,2017,11,27,0
111,1,19,1,2017,11,28,0
140,1,19,1,2017,11,29,0
449,1,19,1,2017,11,30,0
0,1,19,1,2017,12,1,1
0,1,19,1,2017,12,2,0
11,1,19,1,2017,12,3,0
114,1,19,1,2017,12,4,0
141,1,19,1,2017,12,5,0
127,1,19,1,2017,12,6,0
106,1,19,1,2017,12,7,0
136,1,19,1,2017,12,8,0
107,1,19,1,2017,12,9,0
52,1,19,1,2017,12,10,0
174,1,19,1,2017,12,11,0
162,1,19,1,2017,12,12,0
166,1,19,1,2017,12,13,0
145,1,19,1,2017,12,14,0
165,1,19,1,2017,12,15,0
90,1,19,1,2017,12,16,0
105,1,19,1,2017,12,17,0
236,1,19,1,2017,12,18,0
163,1,19,1,2017,12,19,0
216,1,19,1,2017,12,20,0
104,1,19,1,2017,12,21,0
84,1,19,1,2017,12,22,0
144,1,19,1,2017,12,23,0
98,1,19,1,2017,12,24,0
120,1,19,1,2017,12,25,1
178,1,19,1,2017,12,26,0
160,1,19,1,2017,12,27,0
156,1,19,1,2017,12,28,0
210,1,19,1,2017,12,29,0
174,1,19,1,2017,12,30,0
925,1,19,1,2017,12,31,0
81,1,19,1,2018,1,1,1
0,1,19,1,2018,1,2,0
0,1,19,1,2018,1,3,0
0,1,19,1,2018,1,4,0
130,1,19,1,2018,1,5,0
89,1,19,1,2018,1,6,0
0,1,19,1,2018,1,8,0
125,1,19,1,2018,1,9,0
133,1,19,1,2018,1,10,0
117,1,19,1,2018,1,11,0
148,1,19,1,2018,1,12,0
123,1,19,1,2018,1,13,0
113,1,19,1,2018,1,14,1
176,1,19,1,2018,1,15,0
161,1,19,1,2018,1,16,0
176,1,19,1,2018,1,17,0
131,1,19,1,2018,1,18,0
195,1,19,1,2018,1,19,0
178,1,19,1,2018,1,20,0
148,1,19,1,2018,1,21,0
143,1,19,1,2018,1,22,0
188,1,19,1,2018,1,23,0
151,1,19,1,2018,1,24,0
128,1,19,1,2018,1,25,0
67,1,19,1,2018,1,26,1
129,1,19,1,2018,1,27,0
105,1,19,1,2018,1,28,0
163,1,19,1,2018,1,29,0
162,1,19,1,2018,1,30,0
667,1,19,1,2018,1,31,0
65,1,19,1,2018,2,1,0
0,1,19,1,2018,2,2,0
0,1,19,1,2018,2,3,0
167,1,19,1,2018,2,5,0
185,1,19,1,2018,2,6,0
176,1,19,1,2018,2,7,0
127,1,19,1,2018,2,8,0
176,1,19,1,2018,2,9,0
153,1,19,1,2018,2,10,0
106,1,19,1,2018,2,11,0
179,1,19,1,2018,2,12,0
195,1,19,1,2018,2,13,0
227,1,19,1,2018,2,14,1
144,1,19,1,2018,2,15,0
194,1,19,1,2018,2,16,0
145,1,19,1,2018,2,17,0
123,1,19,1,2018,2,18,0
149,1,19,1,2018,2,19,0
156,1,19,1,2018,2,20,0
184,1,19,1,2018,2,21,0
157,1,19,1,2018,2,22,0
194,1,19,1,2018,2,23,0
164,1,19,1,2018,2,24,0
125,1,19,1,2018,2,25,0
211,1,19,1,2018,2,26,0
176,1,19,1,2018,2,27,0
715,1,19,1,2018,2,28,0
2,1,19,1,2018,3,1,0
0,1,19,1,2018,3,3,0
241,1,19,1,2018,3,5,0
180,1,19,1,2018,3,6,0
178,1,19,1,2018,3,7,0
169,1,19,1,2018,3,8,0
201,1,19,1,2018,3,9,0
172,1,19,1,2018,3,10,0
136,1,19,1,2018,3,11,0
243,1,19,1,2018,3,12,0
217,1,19,1,2018,3,13,0
221,1,19,1,2018,3,14,0
158,1,19,1,2018,3,15,0
225,1,19,1,2018,3,16,0
173,1,19,1,2018,3,17,0
166,1,19,1,2018,3,18,1
244,1,19,1,2018,3,19,0
220,1,19,1,2018,3,20,0
197,1,19,1,2018,3,21,0
196,1,19,1,2018,3,22,0
214,1,19,1,2018,3,23,0
200,1,19,1,2018,3,24,0
183,1,19,1,2018,3,25,1
249,1,19,1,2018,3,26,0
209,1,19,1,2018,3,27,0
255,1,19,1,2018,3,28,0
187,1,19,1,2018,3,29,1
233,1,19,1,2018,3,30,1
1657,1,19,1,2018,3,31,0
0,1,19,1,2018,4,1,0
0,1,19,1,2018,4,2,0
0,1,19,1,2018,4,3,0
0,1,19,1,2018,4,4,0
0,1,19,1,2018,4,5,0
0,1,19,1,2018,4,6,0
0,1,19,1,2018,4,7,0
4,1,19,1,2018,4,8,0
405,1,19,1,2018,4,9,0
3,1,19,1,2018,4,10,0
256,1,19,1,2018,4,11,0
198,1,19,1,2018,4,12,0
232,1,19,1,2018,4,13,0
241,1,19,1,2018,4,14,0
348,1,19,1,2018,4,15,0
278,1,19,1,2018,4,16,0
231,1,19,1,2018,4,17,0
224,1,19,1,2018,4,18,0
195,1,19,1,2018,4,19,0
207,1,19,1,2018,4,20,0
167,1,19,1,2018,4,21,0
147,1,19,1,2018,4,22,0
228,1,19,1,2018,4,23,0
209,1,19,1,2018,4,24,0
220,1,19,1,2018,4,25,0
188,1,19,1,2018,4,26,0
199,1,19,1,2018,4,27,0
183,1,19,1,2018,4,28,0
164,1,19,1,2018,4,29,0
305,1,19,1,2018,4,30,1
1,1,19,1,2018,5,1,1
208,1,19,1,2018,5,2,0
184,1,19,1,2018,5,3,0
197,1,19,1,2018,5,4,0
182,1,19,1,2018,5,5,0
154,1,19,1,2018,5,6,0
255,1,19,1,2018,5,7,0
201,1,19,1,2018,5,8,0
227,1,19,1,2018,5,9,0
162,1,19,1,2018,5,10,0
170,1,19,1,2018,5,11,0
183,1,19,1,2018,5,12,0
114,1,19,1,2018,5,13,0
122,1,19,1,2018,5,14,0
218,1,19,1,2018,5,15,0
207,1,19,1,2018,5,16,0
154,1,19,1,2018,5,17,0
180,1,19,1,2018,5,18,0
177,1,19,1,2018,5,19,0
169,1,19,1,2018,5,20,0
256,1,19,1,2018,5,21,0
174,1,19,1,2018,5,22,0
191,1,19,1,2018,5,23,0
194,1,19,1,2018,5,24,0
201,1,19,1,2018,5,25,0
162,1,19,1,2018,5,26,0
182,1,19,1,2018,5,27,0
234,1,19,1,2018,5,28,0
191,1,19,1,2018,5,29,0
236,1,19,1,2018,5,30,0
341,1,19,1,2018,5,31,0
20,1,19,1,2018,6,1,0
215,1,19,1,2018,6,2,0
180,1,19,1,2018,6,3,0
308,1,19,1,2018,6,4,0
322,1,19,1,2018,6,5,0
289,1,19,1,2018,6,6,0
245,1,19,1,2018,6,7,0
268,1,19,1,2018,6,8,0
260,1,19,1,2018,6,9,0
315,1,19,1,2018,6,10,0
322,1,19,1,2018,6,11,0
314,1,19,1,2018,6,12,0
515,1,19,1,2018,6,13,0
523,1,19,1,2018,6,14,0
643,1,19,1,2018,6,15,0
198,1,19,1,2018,6,16,1
198,1,19,1,2018,6,17,0
341,1,19,1,2018,6,18,0
207,1,19,1,2018,6,19,0
279,1,19,1,2018,6,20,0
218,1,19,1,2018,6,21,0
284,1,19,1,2018,6,22,0
202,1,19,1,2018,6,23,0
141,1,19,1,2018,6,24,0
190,1,19,1,2018,6,25,0
134,1,19,1,2018,6,26,0
199,1,19,1,2018,6,27,0
191,1,19,1,2018,6,28,0
166,1,19,1,2018,6,29,0
321,1,19,1,2018,6,30,0
3,1,19,1,2018,7,1,0
142,1,19,1,2018,7,2,0
154,1,19,1,2018,7,3,0
134,1,19,1,2018,7,4,0
98,1,19,1,2018,7,5,0
84,1,19,1,2018,7,6,0
80,1,19,1,2018,7,7,0
59,1,19,1,2018,7,8,0
114,1,19,1,2018,7,9,0
122,1,19,1,2018,7,10,0
121,1,19,1,2018,7,11,0
80,1,19,1,2018,7,12,0
96,1,19,1,2018,7,13,0
95,1,19,1,2018,7,14,1
60,1,19,1,2018,7,15,0
102,1,19,1,2018,7,16,0
95,1,19,1,2018,7,17,0
92,1,19,1,2018,7,18,0
69,1,19,1,2018,7,19,0
89,1,19,1,2018,7,20,0
60,1,19,1,2018,7,21,0
44,1,19,1,2018,7,22,0
83,1,19,1,2018,7,23,0
96,1,19,1,2018,7,24,0
82,1,19,1,2018,7,25,0
34,1,19,1,2018,7,26,0
92,1,19,1,2018,7,27,0
54,1,19,1,2018,7,28,0
59,1,19,1,2018,7,29,0
109,1,19,1,2018,7,30,0
102,1,19,1,2018,7,31,0
51,1,19,1,2018,8,1,0
0,1,19,1,2018,8,2,0
64,1,19,1,2018,8,3,0
61,1,19,1,2018,8,4,0
44,1,19,1,2018,8,5,0
90,1,19,1,2018,8,6,0
64,1,19,1,2018,8,7,0
48,1,19,1,2018,8,8,0
51,1,19,1,2018,8,9,0
58,1,19,1,2018,8,10,0
69,1,19,1,2018,8,11,0
45,1,19,1,2018,8,12,0
88,1,19,1,2018,8,13,0
62,1,19,1,2018,8,14,0
26,1,19,1,2018,8,15,1
61,1,19,1,2018,8,16,0
72,1,19,1,2018,8,17,0
55,1,19,1,2018,8,18,0
33,1,19,1,2018,8,19,0
78,1,19,1,2018,8,20,0
92,1,19,1,2018,8,21,0
51,1,19,1,2018,8,22,1
51,1,19,1,2018,8,23,0
70,1,19,1,2018,8,24,0
60,1,19,1,2018,8,25,1
37,1,19,1,2018,8,26,1
82,1,19,1,2018,8,27,0
55,1,19,1,2018,8,28,0
57,1,19,1,2018,8,29,0
66,1,19,1,2018,8,30,0
93,1,19,1,2018,8,31,0
27,1,19,1,2018,9,1,0
0,1,19,1,2018,9,2,0
53,1,19,1,2018,9,3,1
60,1,19,1,2018,9,4,0
65,1,19,1,2018,9,5,0
57,1,19,1,2018,9,6,0
45,1,19,1,2018,9,7,0
55,1,19,1,2018,9,8,0
40,1,19,1,2018,9,9,0
69,1,19,1,2018,9,10,0
167,1,19,1,2018,9,11,0
264,1,19,1,2018,9,12,0
200,1,19,1,2018,9,13,1
177,1,19,1,2018,9,14,0
173,1,19,1,2018,9,15,0
211,1,19,1,2018,9,16,0
100,1,19,1,2018,9,17,0
184,1,19,1,2018,9,18,0
185,1,19,1,2018,9,19,0
115,1,19,1,2018,9,20,0
122,1,19,1,2018,9,21,1
113,1,19,1,2018,9,22,0
114,1,19,1,2018,9,23,0
135,1,19,1,2018,9,24,0
126,1,19,1,2018,9,25,0
114,1,19,1,2018,9,26,0
120,1,19,1,2018,9,27,0
184,1,19,1,2018,9,28,0
200,1,19,1,2018,9,29,0
409,1,19,1,2018,9,30,0
206,1,19,1,2018,10,1,0
1,1,19,1,2018,10,2,1
205,1,19,1,2018,10,3,0
175,1,19,1,2018,10,4,0
228,1,19,1,2018,10,5,0
163,1,19,1,2018,10,6,0
263,1,19,1,2018,10,7,0
272,1,19,1,2018,10,8,0
231,1,19,1,2018,10,9,0
262,1,19,1,2018,10,10,0
260,1,19,1,2018,10,11,0
289,1,19,1,2018,10,12,0
291,1,19,1,2018,10,13,0
468,1,19,1,2018,10,14,0
463,1,19,1,2018,10,15,0
346,1,19,1,2018,10,16,0
151,1,19,1,2018,10,17,0
68,1,19,1,2018,10,18,0
28,1,19,1,2018,10,19,1
145,1,19,1,2018,10,20,0
137,1,19,1,2018,10,21,0
237,1,19,1,2018,10,22,0
230,1,19,1,2018,10,23,0
241,1,19,1,2018,10,24,0
183,1,19,1,2018,10,25,0
178,1,19,1,2018,10,26,0
190,1,19,1,2018,10,27,0
167,1,19,1,2018,10,28,0
197,1,19,1,2018,10,29,0
156,1,19,1,2018,10,30,0
621,1,19,1,2018,10,31,0
2,1,19,1,2018,11,1,0
0,1,19,1,2018,11,2,0
227,1,19,1,2018,11,3,0
317,1,19,1,2018,11,4,0
383,1,19,1,2018,11,5,0
288,1,19,1,2018,11,6,0
170,1,19,1,2018,11,7,1
214,1,19,1,2018,11,8,0
96,1,19,1,2018,11,9,0
216,1,19,1,2018,11,10,0
143,1,19,1,2018,11,11,0
194,1,19,1,2018,11,12,0
185,1,19,1,2018,11,13,0
150,1,19,1,2018,11,14,0
121,1,19,1,2018,11,15,0
155,1,19,1,2018,11,16,0
135,1,19,1,2018,11,17,0
108,1,19,1,2018,11,18,0
174,1,19,1,2018,11,19,0
148,1,19,1,2018,11,20,0
155,1,19,1,2018,11,21,1
122,1,19,1,2018,11,22,0
136,1,19,1,2018,11,23,1
119,1,19,1,2018,11,24,0
112,1,19,1,2018,11,25,0
143,1,19,1,2018,11,26,0
140,1,19,1,2018,11,27,0
149,1,19,1,2018,11,28,0
113,1,19,1,2018,11,29,0
247,1,19,1,2018,11,30,0
48,1,19,1,2018,12,1,0
61,1,19,1,2018,12,2,0
155,1,19,1,2018,12,3,0
131,1,19,1,2018,12,4,0
161,1,19,1,2018,12,5,0
115,1,19,1,2018,12,6,0
130,1,19,1,2018,12,7,0
114,1,19,1,2018,12,8,0
127,1,19,1,2018,12,9,0
186,1,19,1,2018,12,10,0
151,1,19,1,2018,12,11,0
148,1,19,1,2018,12,12,0
124,1,19,1,2018,12,13,0
176,1,19,1,2018,12,14,0
100,1,19,1,2018,12,15,0
98,1,19,1,2018,12,16,0
148,1,19,1,2018,12,17,0
103,1,19,1,2018,12,18,0
113,1,19,1,2018,12,19,0
104,1,19,1,2018,12,20,0
134,1,19,1,2018,12,21,0
109,1,19,1,2018,12,22,0
84,1,19,1,2018,12,23,0
157,1,19,1,2018,12,24,0
122,1,19,1,2018,12,25,1
134,1,19,1,2018,12,26,0
111,1,19,1,2018,12,27,0
149,1,19,1,2018,12,28,0
123,1,19,1,2018,12,29,0
116,1,19,1,2018,12,30,0
257,1,19,1,2018,12,31,0
0,1,19,1,2019,1,1,1
153,1,19,1,2019,1,2,0
110,1,19,1,2019,1,3,0
129,1,19,1,2019,1,4,0
115,1,19,1,2019,1,5,0
89,1,19,1,2019,1,6,0
151,1,19,1,2019,1,7,0
146,1,19,1,2019,1,8,0
147,1,19,1,2019,1,9,0
115,1,19,1,2019,1,10,0
152,1,19,1,2019,1,11,0
137,1,19,1,2019,1,12,0
123,1,19,1,2019,1,13,0
155,1,19,1,2019,1,14,1
164,1,19,1,2019,1,15,0
173,1,19,1,2019,1,16,0
145,1,19,1,2019,1,17,0
169,1,19,1,2019,1,18,0
142,1,19,1,2019,1,19,0
130,1,19,1,2019,1,20,0
173,1,19,1,2019,1,21,0
141,1,19,1,2019,1,22,0
186,1,19,1,2019,1,23,0
121,1,19,1,2019,1,24,0
145,1,19,1,2019,1,25,0
81,1,19,1,2019,1,26,1
108,1,19,1,2019,1,27,0
174,1,19,1,2019,1,28,0
146,1,19,1,2019,1,29,0
145,1,19,1,2019,1,30,0
255,1,19,1,2019,1,31,0
1,1,19,1,2019,2,1,0
126,1,19,1,2019,2,2,0
134,1,19,1,2019,2,3,0
190,1,19,1,2019,2,4,0
173,1,19,1,2019,2,5,0
165,1,19,1,2019,2,6,0
164,1,19,1,2019,2,7,0
372,1,19,1,2019,2,8,0
0,1,19,1,2019,2,9,0
111,1,19,1,2019,2,10,0
206,1,19,1,2019,2,11,0
149,1,19,1,2019,2,12,0
152,1,19,1,2019,2,13,0
133,1,19,1,2019,2,14,0
177,1,19,1,2019,2,15,0
155,1,19,1,2019,2,16,0
123,1,19,1,2019,2,17,0
184,1,19,1,2019,2,18,0
172,1,19,1,2019,2,19,0
172,1,19,1,2019,2,20,0
150,1,19,1,2019,2,21,0
130,1,19,1,2019,2,22,0
81,1,19,1,2019,2,23,0
149,1,19,1,2019,2,24,0
150,1,19,1,2019,2,25,0
98,1,19,1,2019,2,26,0
104,1,19,1,2019,2,27,0
220,1,19,1,2019,2,28,0
143,1,19,1,2019,3,1,0
11,1,19,1,2019,3,2,0
128,1,19,1,2019,3,3,0
207,1,19,1,2019,3,4,1
147,1,19,1,2019,3,5,0
140,1,19,1,2019,3,6,0
124,1,19,1,2019,3,7,0
156,1,19,1,2019,3,8,0
139,1,19,1,2019,3,9,0
134,1,19,1,2019,3,10,0
183,1,19,1,2019,3,11,0
162,1,19,1,2019,3,12,0
178,1,19,1,2019,3,13,0
128,1,19,1,2019,3,14,0
165,1,19,1,2019,3,15,0
129,1,19,1,2019,3,16,0
161,1,19,1,2019,3,17,0
194,1,19,1,2019,3,18,0
173,1,19,1,2019,3,19,0
205,1,19,1,2019,3,20,0
9,1,19,1,2019,3,21,1
153,1,19,1,2019,3,22,0
192,1,19,1,2019,3,23,0
116,1,19,1,2019,3,24,0
202,1,19,1,2019,3,25,0
211,1,19,1,2019,3,26,0
188,1,19,1,2019,3,27,0
159,1,19,1,2019,3,28,0
165,1,19,1,2019,3,29,0
143,1,19,1,2019,3,30,0
294,1,19,1,2019,3,31,0
0,1,19,1,2019,4,1,0
136,1,19,1,2019,4,2,0
156,1,19,1,2019,4,3,0
149,1,19,1,2019,4,4,0
149,1,19,1,2019,4,5,0
169,1,19,1,2019,4,6,1
158,1,19,1,2019,4,7,0
230,1,19,1,2019,4,8,0
157,1,19,1,2019,4,9,0
161,1,19,1,2019,4,10,0
125,1,19,1,2019,4,11,0
162,1,19,1,2019,4,12,0
145,1,19,1,2019,4,13,1
137,1,19,1,2019,4,14,0
266,1,19,1,2019,4,15,0
149,1,19,1,2019,4,16,0
169,1,19,1,2019,4,17,1
146,1,19,1,2019,4,18,0
163,1,19,1,2019,4,19,1
118,1,19,1,2019,4,20,0
122,1,19,1,2019,4,21,0
163,1,19,1,2019,4,22,0
180,1,19,1,2019,4,23,0
148,1,19,1,2019,4,24,0
132,1,19,1,2019,4,25,0
141,1,19,1,2019,4,26,0
133,1,19,1,2019,4,27,0
82,1,19,1,2019,4,28,0
184,1,19,1,2019,4,29,0
122,1,19,1,2019,4,30,0
119,1,19,1,2019,5,1,1
157,1,19,1,2019,5,2,0
64,1,19,1,2019,5,3,0
138,1,19,1,2019,5,4,0
124,1,19,1,2019,5,5,0
114,1,19,1,2019,5,6,0
198,1,19,1,2019,5,7,0
177,1,19,1,2019,5,8,0
152,1,19,1,2019,5,9,0
167,1,19,1,2019,5,10,0
164,1,19,1,2019,5,11,0
136,1,19,1,2019,5,12,0
192,1,19,1,2019,5,13,0
178,1,19,1,2019,5,14,0
184,1,19,1,2019,5,15,0
149,1,19,1,2019,5,16,0
152,1,19,1,2019,5,17,0
126,1,19,1,2019,5,18,1
96,1,19,1,2019,5,19,0
232,1,19,1,2019,5,20,0
176,1,19,1,2019,5,21,0
207,1,19,1,2019,5,22,0
121,1,19,1,2019,5,23,0
206,1,19,1,2019,5,24,0
147,1,19,1,2019,5,25,0
183,1,19,1,2019,5,26,0
232,1,19,1,2019,5,27,0
219,1,19,1,2019,5,28,0
258,1,19,1,2019,5,29,0
219,1,19,1,2019,5,30,0
234,1,19,1,2019,5,31,0
275,1,19,1,2019,6,1,0
288,1,19,1,2019,6,2,0
416,1,19,1,2019,6,3,0
559,1,19,1,2019,6,4,0
202,1,19,1,2019,6,5,1
184,1,19,1,2019,6,6,0
222,1,19,1,2019,6,7,0
151,1,19,1,2019,6,8,0
138,1,19,1,2019,6,9,0
189,1,19,1,2019,6,10,0
205,1,19,1,2019,6,11,0
187,1,19,1,2019,6,12,0
149,1,19,1,2019,6,13,0
177,1,19,1,2019,6,14,0
166,1,19,1,2019,6,15,0
111,1,19,1,2019,6,16,0
200,1,19,1,2019,6,17,0
152,1,19,1,2019,6,18,0
188,1,19,1,2019,6,19,0
151,1,19,1,2019,6,20,0
168,1,19,1,2019,6,21,0
143,1,19,1,2019,6,22,0
157,1,19,1,2019,6,23,0
170,1,19,1,2019,6,24,0
160,1,19,1,2019,6,25,0
188,1,19,1,2019,6,26,0
140,1,19,1,2019,6,27,0
158,1,19,1,2019,6,28,0
137,1,19,1,2019,6,29,0
125,1,19,1,2019,6,30,0
169,1,19,1,2019,7,1,0
139,1,19,1,2019,7,2,0
165,1,19,1,2019,7,3,0
169,1,19,1,2019,7,4,1
0,1,19,1,2019,7,5,0
58,1,4,2,2017,4,1,0
13,1,4,2,2017,4,3,0
6,1,4,2,2017,4,4,0
74,1,4,2,2017,4,5,1
74,1,4,2,2017,4,7,0
57,1,4,2,2017,4,12,0
56,1,4,2,2017,4,13,0
74,1,4,2,2017,4,14,1
17,1,4,2,2017,4,15,0
84,1,4,2,2017,4,16,0
61,1,4,2,2017,4,17,0
48,1,4,2,2017,4,18,0
63,1,4,2,2017,4,19,0
69,1,4,2,2017,4,20,0
